"app_url","checked_at","http_status","response_time_s","final_url","redirected","soft_fail_markers","auto_class","error_message"
"https://iscience-kn.shinyapps.io/dropR","2026-07-27T22:57:25Z",200,2.89,"https://iscience-kn.shinyapps.io/dropR/",FALSE,"","ok_needs_manual",NA
"https://tkwong3004.shinyapps.io/BayesTtestPower","2026-07-27T22:57:28Z",202,1.82,"https://tkwong3004.shinyapps.io/BayesTtestPower/",FALSE,NA,"waking_202",NA
"https://paulriesthuis.shinyapps.io/ROC_Power_Shiny","2026-07-27T22:57:30Z",200,3.65,"https://paulriesthuis.shinyapps.io/ROC_Power_Shiny/",FALSE,"","ok_needs_manual",NA
"https://sempower.shinyapps.io/sempower","2026-07-27T22:57:34Z",202,2.4,"https://sempower.shinyapps.io/sempower/",FALSE,NA,"waking_202",NA
"https://sjak.shinyapps.io/power4SEM","2026-07-27T22:57:36Z",202,2.58,"https://sjak.shinyapps.io/power4SEM/",FALSE,NA,"waking_202",NA
"https://kg11.shinyapps.io/tailoredcutoffs","2026-07-27T22:57:39Z",202,1.74,"https://kg11.shinyapps.io/tailoredcutoffs/",FALSE,NA,"waking_202",NA
"https://losener.shinyapps.io/MLM_input","2026-07-27T22:57:41Z",404,0.77,"https://losener.shinyapps.io/MLM_input",FALSE,NA,"client_error",NA
"https://utrecht-university.shinyapps.io/OD_CRXO","2026-07-27T22:57:41Z",202,1.67,"https://utrecht-university.shinyapps.io/OD_CRXO/",FALSE,NA,"waking_202",NA
"https://shiny.molekulare-psychologie.de/jkohne/ChatDashboardShowcase","2026-07-27T22:57:43Z",NA,0.27,NA,NA,NA,"dns_error","Failed to perform HTTP request.
Caused by error in `curl::curl_fetch_memory()`:
! Could not resolve hostname [shiny.molekulare-psychologie.de]: Could not resolve host: shiny.molekulare-psychologie.de"
"https://utrecht-university.shinyapps.io/Power_Piecewise_Growth","2026-07-27T22:57:43Z",202,1.61,"https://utrecht-university.shinyapps.io/Power_Piecewise_Growth/",FALSE,NA,"waking_202",NA
"https://shiny.gold-msi.org/longgold_demo","2026-07-27T22:57:45Z",200,10.22,"https://shiny.gold-msi.org/longgold_demo/",FALSE,"","ok_needs_manual",NA
"https://manolov.shinyapps.io/ResponseFunction","2026-07-27T22:57:55Z",202,1.79,"https://manolov.shinyapps.io/ResponseFunction/",FALSE,NA,"waking_202",NA
"https://sergiopirla.shinyapps.io/powerADapp","2026-07-27T22:57:57Z",202,2.02,"https://sergiopirla.shinyapps.io/powerADapp/",FALSE,NA,"waking_202",NA
"https://utrecht-university.shinyapps.io/missing_data_CRT","2026-07-27T22:57:59Z",202,1.2,"https://utrecht-university.shinyapps.io/missing_data_CRT/",FALSE,NA,"waking_202",NA
"https://bastd.shinyapps.io/shiny_bastd","2026-07-27T22:58:00Z",202,1.91,"https://bastd.shinyapps.io/shiny_bastd/",FALSE,NA,"waking_202",NA
"http://shinyapps.org/apps/BFDA","2026-07-27T22:58:02Z",200,0.46,"http://shinyapps.org/apps/BFDA/",FALSE,"","ok_needs_manual",NA
